Skills
AJAX
C++
JavaScript
Python
Java
MySQL
Microsoft Office
Photoshop
Microsoft Word
Algorithm Design
C
HTML
Programming
Public Speaking
PowerPoint
PHP
CSS
Microsoft Excel
